sequence    ,obj,  J&F,    J,    F
sav_042517  ,002, 100.0, 100.0, 100.0
sav_042703  ,000, 100.0, 100.0, 100.0
sav_042890  ,000, 100.0, 100.0, 100.0
sav_043131  ,000, 100.0, 100.0, 100.0
sav_043183  ,000, 100.0, 100.0, 100.0
sav_043183  ,001, 100.0, 100.0, 100.0
sav_043348  ,000, 100.0, 100.0, 100.0
sav_043348  ,001, 100.0, 100.0, 100.0
sav_043844  ,000, 100.0, 100.0, 100.0
sav_043844  ,001, 100.0, 100.0, 100.0
sav_043844  ,002, 100.0, 100.0, 100.0
sav_043898  ,000, 100.0, 100.0, 100.0
sav_044104  ,000, 100.0, 100.0, 100.0
sav_044104  ,001, 100.0, 100.0, 100.0
sav_044104  ,002, 100.0, 100.0, 100.0
sav_044104  ,003, 100.0, 100.0, 100.0
sav_044580  ,000, 100.0, 100.0, 100.0
sav_044777  ,000, 100.0, 100.0, 100.0
sav_044777  ,001, 100.0, 100.0, 100.0
sav_045541  ,000, 100.0, 100.0, 100.0
sav_045630  ,000, 100.0, 100.0, 100.0
sav_045630  ,001, 100.0, 100.0, 100.0
sav_045675  ,000, 100.0, 100.0, 100.0
sav_046799  ,000, 100.0, 100.0, 100.0
sav_046799  ,001, 100.0, 100.0, 100.0
sav_047286  ,000, 100.0, 100.0, 100.0
sav_047904  ,000, 100.0, 100.0, 100.0
sav_048456  ,000, 100.0, 100.0, 100.0
sav_048456  ,001, 100.0, 100.0, 100.0
sav_048782  ,000, 100.0, 100.0, 100.0
sav_048782  ,001, 100.0, 100.0, 100.0
sav_048782  ,002, 100.0, 100.0, 100.0
sav_049155  ,000, 100.0, 100.0, 100.0
sav_049155  ,001, 100.0, 100.0, 100.0
sav_049186  ,000, 100.0, 100.0, 100.0
sav_050141  ,000, 100.0, 100.0, 100.0
sav_050141  ,001, 100.0, 100.0, 100.0
sav_050141  ,002, 100.0, 100.0, 100.0
sav_050141  ,003, 100.0, 100.0, 100.0
sav_050499  ,000, 100.0, 100.0, 100.0
sav_051362  ,000, 100.0, 100.0, 100.0
sav_051362  ,001, 100.0, 100.0, 100.0
sav_051362  ,002, 100.0, 100.0, 100.0
